Running with RISCV=/home/axel/chipyard/.conda-env/riscv-tools
(set -o pipefail &&  /home/axel/chipyard/sims/verilator/simulator-customtop-MsgLogger2BigConfig +permissive +dramsim +dramsim_ini_dir=/home/axel/chipyard/generators/testchipip/src/main/resources/dramsim2_ini +max-cycles=100000000   +verbose +permissive-off /home/axel/riscv-tests/benchmarks/mt-globals-logging.riscv </dev/null 2> >(spike-dasm > /home/axel/chipyard/sims/verilator/output/customtop.TestHarness.MsgLogger2BigConfig/mt-globals-logging.out) | tee /home/axel/chipyard/sims/verilator/output/customtop.TestHarness.MsgLogger2BigConfig/mt-globals-logging.log)
[UART] UART0 is here (stdin/stdout).
 tick dir chan              op  address     sink   source    param             data     size     mask  corrupt   denied
-----------------------------------------------------------------------------------------------------------------------
nmsg: 1424
  164 out    D   AccessAckData        -        0        6        0 126347850007871b        6        -        0        0
  165 out    D   AccessAckData        -        0        6        0 a035fe04242304f7        6        -        0        0
  166 out    D   AccessAckData        -        0        6        0 678d873efe842783        6        -        0        0
  167 out    D   AccessAckData        -        0        6        0 26970007871b9fb9        6        -        0        0
  172  in    A             Get 80002800        -        2        0                0        6      255        0        -
  176 out    D   AccessAckData        -        0        2        0 2785fec42783c398        6        -        0        0
  177 out    D   AccessAckData        -        0        2        0 fec42783fef42623        6        -        0        0
  178 out    D   AccessAckData        -        0        2        0  ff007930007871b        6        -        0        0
  179 out    D   AccessAckData        -        0        2        0 fdc42783fce7d5e3        6        -        0        0
  180 out    D   AccessAckData        -        0        2        0 126347850007871b        6        -        0        0
  181 out    D   AccessAckData        -        0        2        0 a035fe04242304f7        6        -        0        0
  182 out    D   AccessAckData        -        0        2        0 678d873efe842783        6        -        0        0
  183 out    D   AccessAckData        -        0        2        0 26970007871b9fb9        6        -        0        0
  184 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  177  in    A             Get 80001000        -        8        0                0        3      255        0        -
  196  in    A    AcquireBlock 80004140        -        4        1                0        6      255        0        -
  200 out    D       GrantData        -        0        4        0 fffff5cafffff5ca        6        -        0        0
  201 out    D       GrantData        -        0        4        0 fffff560fffff558        6        -        0        0
  202  in    E               -        -        0        -        -                -        -        -        -        -
  202 out    D       GrantData        -        0        4        0 fffff5cafffff5ca        6        -        0        0
  203 out    D       GrantData        -        0        4        0 fffff5cafffff42a        6        -        0        0
  204 out    D       GrantData        -        0        4        0 fffff5cafffff550        6        -        0        0
  205 out    D       GrantData        -        0        4        0 fffff582fffff5ca        6        -        0        0
  206 out    D       GrantData        -        0        4        0                0        6        -        0        0
  207 out    D       GrantData        -        0        4        0                0        6        -        0        0
  208 out    D   AccessAckData        -        1        2        0 2783d32686930000        6        -        0        0
  209 out    D   AccessAckData        -        1        2        0 c39897b6078afe84        6        -        0        0
  210 out    D   AccessAckData        -        1        2        0 24232785fe842783        6        -        0        0
  211 out    D   AccessAckData        -        1        2        0 871bfe842783fef4        6        -        0        0
  212 out    D   AccessAckData        -        1        2        0 d5e30ff007930007        6        -        0        0
  213 out    D   AccessAckData        -        1        2        0 2781fdc42783fce7        6        -        0        0
  214 out    D   AccessAckData        -        1        2        0 a035fe042223e3a9        6        -        0        0
  215 out    D   AccessAckData        -        1        2        0 6789873efe442783        6        -        0        0
  200  in    A             Get 80002840        -        2        0                0        6      255        0        -
  219  in    A             Get 80001000        -        8        0                0        3      255        0        -
  223 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  244  in    A    AcquireBlock 80004540        -        0        1                0        6      255        0        -
  248 out    D       GrantData        -        0        0        0                0        6        -        0        0
  249 out    D       GrantData        -        0        0        0                0        6        -        0        0
  250  in    E               -        -        0        -        -                -        -        -        -        -
  250 out    D       GrantData        -        0        0        0                0        6        -        0        0
  251 out    D       GrantData        -        0        0        0                0        6        -        0        0
  252 out    D       GrantData        -        0        0        0                0        6        -        0        0
  253 out    D       GrantData        -        0        0        0                0        6        -        0        0
  254 out    D       GrantData        -        0        0        0                0        6        -        0        0
  255 out    D       GrantData        -        0        0        0                0        6        -        0        0
  258  in    A             Get 80001000        -        8        0                0        3      255        0        -
  262 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  297  in    A             Get 80001000        -        8        0                0        3      255        0        -
  301 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  333  in    A    AcquireBlock 80004180        -        4        1                0        6      255        0        -
  336  in    A             Get 80001000        -        8        0                0        3      255        0        -
  337 out    D       GrantData        -        0        4        0                0        6        -        0        0
  338 out    D       GrantData        -        0        4        0                0        6        -        0        0
  339  in    E               -        -        0        -        -                -        -        -        -        -
  339 out    D       GrantData        -        0        4        0                0        6        -        0        0
  340 out    D       GrantData        -        0        4        0                0        6        -        0        0
  341 out    D       GrantData        -        0        4        0                0        6        -        0        0
  342 out    D       GrantData        -        0        4        0                0        6        -        0        0
  343 out    D       GrantData        -        0        4        0                0        6        -        0        0
  344 out    D       GrantData        -        0        4        0                0        6        -        0        0
  345 out    D   AccessAckData        -        1        8        0                0        3        -        0        0
  380  in    A             Get 80001000        -        8        0                0        3      255        0        -
  381  in    A    AcquireBlock 80004580        -        0        1                0        6      255        0        -
  384 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  385 out    D       GrantData        -        1        0        0                0        6        -        0        0
  386 out    D       GrantData        -        1        0        0                0        6        -        0        0
  387  in    E               -        -        1        -        -                -        -        -        -        -
  387 out    D       GrantData        -        1        0        0                0        6        -        0        0
  388 out    D       GrantData        -        1        0        0                0        6        -        0        0
  389 out    D       GrantData        -        1        0        0                0        6        -        0        0
  390 out    D       GrantData        -        1        0        0                0        6        -        0        0
  391 out    D       GrantData        -        1        0        0                0        6        -        0        0
  392 out    D       GrantData        -        1        0        0                0        6        -        0        0
  419  in    A             Get 80001000        -        8        0                0        3      255        0        -
  423 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  458  in    A             Get 80001000        -        8        0                0        3      255        0        -
  462 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  497  in    A             Get 80001000        -        8        0                0        3      255        0        -
  501 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  536  in    A             Get 80001000        -        8        0                0        3      255        0        -
  540 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  575  in    A             Get 80001000        -        8        0                0        3      255        0        -
  579 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  614  in    A             Get 80001000        -        8        0                0        3      255        0        -
  618 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  653  in    A             Get 80001000        -        8        0                0        3      255        0        -
  657 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  692  in    A             Get 80001000        -        8        0                0        3      255        0        -
  696 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  731  in    A             Get 80001000        -        8        0                0        3      255        0        -
  735 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  770  in    A             Get 80001000        -        8        0                0        3      255        0        -
  774 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  806  in    A    AcquireBlock 800041c0        -        4        1                0        6      255        0        -
  809  in    A             Get 80001000        -        8        0                0        3      255        0        -
  810 out    D       GrantData        -        0        4        0                0        6        -        0        0
  811 out    D       GrantData        -        0        4        0                0        6        -        0        0
  812  in    E               -        -        0        -        -                -        -        -        -        -
  812 out    D       GrantData        -        0        4        0                0        6        -        0        0
  813 out    D       GrantData        -        0        4        0                0        6        -        0        0
  814 out    D       GrantData        -        0        4        0                0        6        -        0        0
  815 out    D       GrantData        -        0        4        0                0        6        -        0        0
  816 out    D       GrantData        -        0        4        0                0        6        -        0        0
  817 out    D       GrantData        -        0        4        0                0        6        -        0        0
  818 out    D   AccessAckData        -        1        8        0                0        3        -        0        0
  853  in    A             Get 80001000        -        8        0                0        3      255        0        -
  857 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  857  in    A    AcquireBlock 800045c0        -        0        1                0        6      255        0        -
  861 out    D       GrantData        -        0        0        0                0        6        -        0        0
  862 out    D       GrantData        -        0        0        0                0        6        -        0        0
  863  in    E               -        -        0        -        -                -        -        -        -        -
  863 out    D       GrantData        -        0        0        0                0        6        -        0        0
  864 out    D       GrantData        -        0        0        0                0        6        -        0        0
  865 out    D       GrantData        -        0        0        0                0        6        -        0        0
  866 out    D       GrantData        -        0        0        0                0        6        -        0        0
  867 out    D       GrantData        -        0        0        0                0        6        -        0        0
  868 out    D       GrantData        -        0        0        0                0        6        -        0        0
  892  in    A             Get 80001000        -        8        0                0        3      255        0        -
  896 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  931  in    A             Get 80001000        -        8        0                0        3      255        0        -
  935 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
  970  in    A             Get 80001000        -        8        0                0        3      255        0        -
  974 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1009  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1013 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1048  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1052 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1087  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1091 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1126  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1130 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1165  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1169 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1204  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1208 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1243  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1247 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1270  in    A    AcquireBlock 80004200        -        4        1                0        6      255        0        -
 1274 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1275 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1276  in    E               -        -        0        -        -                -        -        -        -        -
 1276 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1277 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1278 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1279 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1280 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1281 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1282  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1286 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1321  in    A    AcquireBlock 80004600        -        0        1                0        6      255        0        -
 1322  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1325 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1326 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1327  in    E               -        -        0        -        -                -        -        -        -        -
 1327 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1328 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1329 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1330 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1331 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1332 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1333 out    D   AccessAckData        -        1        8        0                0        3        -        0        0
 1368  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1372 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1407  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1411 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1446  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1450 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1485  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1489 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1524  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1528 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1563  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1567 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1602  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1606 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1641  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1645 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1680  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1684 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1719  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1723 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1734  in    A    AcquireBlock 80004240        -        4        1                0        6      255        0        -
 1738 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1739 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1740  in    E               -        -        0        -        -                -        -        -        -        -
 1740 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1741 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1742 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1743 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1744 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1745 out    D       GrantData        -        0        4        0                0        6        -        0        0
 1758  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1762 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1785  in    A    AcquireBlock 80004640        -        0        1                0        6      255        0        -
 1789 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1790 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1791  in    E               -        -        0        -        -                -        -        -        -        -
 1791 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1792 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1793 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1794 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1795 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1796 out    D       GrantData        -        0        0        0                0        6        -        0        0
 1797  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1801 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1836  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1840 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1875  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1879 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1914  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1918 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1953  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1957 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 1992  in    A             Get 80001000        -        8        0                0        3      255        0        -
 1996 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2031  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2035 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2070  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2074 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2109  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2113 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2148  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2152 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2187  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2191 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2198  in    A    AcquireBlock 80004280        -        4        1                0        6      255        0        -
 2202 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2203 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2204  in    E               -        -        0        -        -                -        -        -        -        -
 2204 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2205 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2206 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2207 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2208 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2209 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2226  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2230 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2249  in    A    AcquireBlock 80004680        -        0        1                0        6      255        0        -
 2253 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2254 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2255  in    E               -        -        0        -        -                -        -        -        -        -
 2255 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2256 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2257 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2258 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2259 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2260 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2265  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2269 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2304  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2308 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2343  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2347 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2382  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2386 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2421  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2425 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2460  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2464 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2499  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2503 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2538  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2542 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2577  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2581 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2616  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2620 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2655  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2659 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2662  in    A    AcquireBlock 800042c0        -        4        1                0        6      255        0        -
 2666 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2667 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2668  in    E               -        -        0        -        -                -        -        -        -        -
 2668 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2669 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2670 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2671 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2672 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2673 out    D       GrantData        -        0        4        0                0        6        -        0        0
 2694  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2698 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2713  in    A    AcquireBlock 800046c0        -        0        1                0        6      255        0        -
 2717 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2718 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2719  in    E               -        -        0        -        -                -        -        -        -        -
 2719 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2720 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2721 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2722 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2723 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2724 out    D       GrantData        -        0        0        0                0        6        -        0        0
 2733  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2737 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2772  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2776 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2811  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2815 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2850  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2854 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2889  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2893 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2928  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2932 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 2967  in    A             Get 80001000        -        8        0                0        3      255        0        -
 2971 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 3006  in    A             Get 80001000        -        8        0                0        3      255        0        -
 3010 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 3045  in    A             Get 80001000        -        8        0                0        3      255        0        -
 3049 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 3084  in    A             Get 80001000        -        8        0                0        3      255        0        -
 3088 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 3123  in    A             Get 80001000        -        8        0                0        3      255        0        -
 3126  in    A    AcquireBlock 80004300        -        4        1                0        6      255        0        -
 3127 out    D   AccessAckData        -        0        8        0                0        3        -        0        0
 3130 out    D       GrantData        -        0        4        0                0        6        -        0        0
 3131 out    D       GrantData        -        0        4        0                0        6        -        0        0
 3132  in    E               -        -        0        -        -                -        -        -        -        -
 3132 out    D       GrantData        -        0        4        0                0        6        -        0        0
 3133 out    D       GrantData        -        0        4        0                0        6        -        0        0
 3134 out    D       GrantData        -        0        4        0                0        6        -        0        0
 3135 out    D       GrantData        -        0        4        0                0        6        -        0        0
 3136 out    D       GrantData        -        0        4        0                0        6        -        0        0
 3137 out    D       GrantData        -        0        4        0                0        6        -        0        0
 3162  in    A             Get 80001000        -        8        0                0        3      255        0        -
